,codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
114,86802,KQK8699,12,-23.000996,-43.364849,1690385479000,27.7,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],11798.2,272
115,12712,LSN8501,10,-23.015663,-43.51853,1690387182000,50.3,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],31221.7,278
116,13407,KPY9732,25,-23.000857,-43.368137,1690384166000,16.6,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],45595.3,346
117,30525,LRC6596,12,-23.012493,-43.459085,1690387184000,12.9,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],53807.7,76
118,47019,KWZ8629,25,-23.002206,-43.366079,1690038986000,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],37053.4, 
119,12703,LSM8771,10,-22.919891,-43.607869,1687442482000,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],30854.4, 
120,30521,LRC6594,25,-23.001598,-43.364892,1690383209000,15.2,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],34971.1,255
121,50302,LSB7J03,11,-22.920147,-43.607163,1678539719000,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2822.8, 
122,12718,KRP5933,12,-22.920426,-43.607335,1686071564000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],18261.1, 
123,12739,LMJ4F12,12,-22.98531,-43.607006,1690387190000,60.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],23906.9,313
124,30542,KXE7717,10,-23.006737,-43.435966,1690387185000,57.4,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],53092.1,77
125,12733,KRQ4900,0,-22.919829,-43.608492,1690383855000,0.0,,,,18657.0, 
126,13406,LRG6479,18,-22.919869,-43.607222,1677321952000,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],1118.8, 
127,30514,KYL8595,29,-23.001854,-43.365505,1690387044000,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],38474.3, 
128,47010,KPZ8363,25,-23.000406,-43.578387,1690386283000,63.4,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],42738.2,284
129,86884,LSP9604,10,-22.940353,-43.665363,1690387184000,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],15421.5,304
130,30522,LRE9805,12,-22.9203,-43.607183,1681821543000,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],17983.8, 
131,12734,LSP8673,25,-23.00182,-43.420446,1690387195000,59.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],17036.8,70
132,A991F39,LUG1F39,0,-22.9516728,-43.3495341,1670749870000,0.0,,,,84598.226, 
